WKT,id,name,alt_name,latitude,longitude
"POINT (111.4484517 -0.3299937)",61.0,KALIMANTAN BARAT,KALIMANTAN BARAT,-0.3299937,111.4484517
"POINT (113.3122996 -1.6752994)",62.0,KALIMANTAN TENGAH,KALIMANTAN TENGAH,-1.6752994,113.3122996
"POINT (115.243798 -3.2288008)",63.0,KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.2288008,115.243798
"POINT (116.3848232 0.5357831)",64.0,KALIMANTAN TIMUR,KALIMANTAN TIMUR,0.5357831,116.3848232
"POINT (115.9551711 3.0331163)",65.0,KALIMANTAN UTARA,KALIMANTAN UTARA,3.0331163,115.9551711
