WKT,id,name,alt_name,latitude,longitude
"POINT (106.8335498 -6.2803131)",31.0,DKI JAKARTA,DKI JAKARTA,-6.2803131,106.8335498
"POINT (107.64047 -6.88917)",32.0,JAWA BARAT,JAWA BARAT,-6.88917,107.64047
"POINT (110.00441 -7.30324)",33.0,JAWA TENGAH,JAWA TENGAH,-7.30324,110.00441
"POINT (110.3234417 -7.7846856)",34.0,DI YOGYAKARTA,DI YOGYAKARTA,-7.7846856,110.3234417
"POINT (112.7001398 -7.3283212)",35.0,JAWA TIMUR,JAWA TIMUR,-7.3283212,112.7001398
"POINT (106.13756 -6.44538)",36.0,BANTEN,BANTEN,-6.44538,106.13756
"POINT (115.1663408 -8.5400699)",51.0,BALI,BALI,-8.5400699,115.1663408
