WKT,id,name,alt_name,latitude,longitude
"POINT (117.274295 -8.741435)",52.0,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.741435,117.274295
"POINT (120.69786 -8.56568)",53.0,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-8.56568,120.69786
"POINT (129.9920256 -3.338284)",81.0,MALUKU,MALUKU,-3.338284,129.9920256
"POINT (127.8182112 1.0694411)",82.0,MALUKU UTARA,MALUKU UTARA,1.0694411,127.8182112
"POINT (132.90253 -1.38424)",91.0,PAPUA BARAT,PAPUA BARAT,-1.38424,132.90253
"POINT (137.0081348 -4.2735638)",94.0,PAPUA,PAPUA,-4.2735638,137.0081348
