WKT,id,province_id,province_name,name,latitude,longitude
"POINT (106.55271 -5.5985)",3101.0,31.0,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271
"POINT (106.8135 -6.266)",3171.0,31.0,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135
"POINT (106.944425 -6.2145566)",3172.0,31.0,DKI JAKARTA,KOTA JAKARTA TIMUR,-6.2145566,106.944425
"POINT (106.8403 -6.1777)",3173.0,31.0,DKI JAKARTA,KOTA JAKARTA PUSAT,-6.1777,106.8403
"POINT (106.7673 -6.1676)",3174.0,31.0,DKI JAKARTA,KOTA JAKARTA BARAT,-6.1676,106.7673
"POINT (106.8946597 -6.1513092)",3175.0,31.0,DKI JAKARTA,KOTA JAKARTA UTARA,-6.1513092,106.8946597
