WKT,id,province_id,province_name,name,latitude,longitude
"POINT (110.02694 -7.645)",3401.0,34.0,DI YOGYAKARTA,KABUPATEN KULON PROGO,-7.645,110.02694
"POINT (110.3371443 -7.8857168)",3402.0,34.0,DI YOGYAKARTA,KABUPATEN BANTUL,-7.8857168,110.3371443
"POINT (110.61667 -7.98333)",3403.0,34.0,DI YOGYAKARTA,KABUPATEN GUNUNG KIDUL,-7.98333,110.61667
"POINT (110.3350027 -7.7150135)",3404.0,34.0,DI YOGYAKARTA,KABUPATEN SLEMAN,-7.7150135,110.3350027
"POINT (110.375 -7.8)",3471.0,34.0,DI YOGYAKARTA,KOTA YOGYAKARTA,-7.8,110.375
