WKT,id,province_id,province_name,name,latitude,longitude
"POINT (105.75 -6.63333)",3601.0,36.0,BANTEN,KABUPATEN PANDEGLANG,-6.63333,105.75
"POINT (106.21667 -6.65)",3602.0,36.0,BANTEN,KABUPATEN LEBAK,-6.65,106.21667
"POINT (106.46667 -6.2)",3603.0,36.0,BANTEN,KABUPATEN TANGERANG,-6.2,106.46667
"POINT (106.0 -6.15)",3604.0,36.0,BANTEN,KABUPATEN SERANG,-6.15,106.0
"POINT (106.62991 -6.17944)",3671.0,36.0,BANTEN,KOTA TANGERANG,-6.17944,106.62991
"POINT (106.01667 -6.01667)",3672.0,36.0,BANTEN,KOTA CILEGON,-6.01667,106.01667
"POINT (106.14999 -6.12563)",3673.0,36.0,BANTEN,KOTA SERANG,-6.12563,106.14999
"POINT (106.71244 -6.29373)",3674.0,36.0,BANTEN,KOTA TANGERANG SELATAN,-6.29373,106.71244
